trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	24	None			NaN	0	0	0.128395599999749	0.523526099999799	2.49533080000037
2	1	2	filler	66	None			NaN	0	3.5	3.51658730000054	4.00503889999982	5.99892530000034
3	1	3	target	22	Left			-1	0	7	7.0163319000003	7.50981649999994	9.49830720000045
4	1	4	target	65	Left			-1	0	11	11.0781252000006	11.4934872000003	13.5009138000005
5	1	5	distractor	1	Right			-1	0	15	15.0198489000004	15.5056420999999	17.5023264000001
6	1	6	target	64	Left	Left	LeftArrow	1	1.13708809999935	19	19.0490066000002	19.5004967000004	21.4935196000006
7	1	7	target	2	Left	Left	LeftArrow	1	1.04769180000039	23	23.0052352000002	23.5032295000001	25.4935086000005
8	1	8	distractor	23	Right	Left	LeftArrow	0	2.39208409999992	27	27.0063967000006	27.4994383000003	29.4957469000001
9	1	9	distractor	45	Right	Right	RightArrow	1	1.17395089999991	31	31.0058434000002	31.5012207	33.4939162000001
10	1	10	distractor	43	Right	Right	RightArrow	1	1.12614759999997	35	35.0051324000005	35.5043350000005	37.4934895000006
11	1	11	target	44	Left	Right	RightArrow	0	0.901394499999697	39	39.0051989000003	39.5040519000004	41.4934762000003
12	1	12	distractor	3	Right	Left	LeftArrow	0	1.1049466000004	43	43.0050877000003	43.4999865	45.4935359999999
