trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	1	None			NaN	0	0	3.70551010000054	3.73402029997669	3.74013819999527
2	1	2	filler	64	None			NaN	0	3.5	3.7619450999191	4.04472969996277	5.99725839996245
3	1	3	target	3	Left	Left	LeftArrow	1	1.88599370000884	7	7.05388729996048	7.55776479991619	9.49343959998805
4	1	4	target	65	Left			-1	0	11	11.0144994999282	11.5089888999937	13.4989063999383
5	1	5	distractor	22	Right			-1	0	15	15.073319899966	15.5424993999768	17.4987289999845
6	1	6	distractor	2	Right	Left	LeftArrow	0	1.22833010007162	19	19.0431894999929	19.5398783999262	21.4935000999831
7	1	7	target	23	Left	Left	LeftArrow	1	1.93579349992797	23	23.000916799996	23.5410043000011	25.4933735999512
8	1	8	distractor	45	Right	Left	LeftArrow	0	1.91536379989702	27	27.0067477999255	27.536313300021	29.4934250999941
9	1	9	distractor	66	Right	Right	RightArrow	1	1.94438720005564	31	31.005618999945	31.5396836999571	33.4933766999748
10	1	10	target	43	Left	Left	LeftArrow	1	1.98326130001806	35	35.0051382000092	35.537143799942	37.4997773999348
11	1	11	distractor	24	Right	Left	LeftArrow	0	1.42361400008667	39	39.005539399921	39.5404286999255	41.4935108999489
12	1	12	target	44	Left	Left	LeftArrow	1	1.15664240007754	43	43.0048455999931	43.5375413999427	45.4935325999977
