trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	22	None			NaN	0	0	0.069087000003492	0.581083400000352	2.49749300000258
2	1	2	filler	3	None			NaN	0	3.5	3.50795080000535	4.01413760000287	5.99606789999962
3	1	3	distractor	1	Right	Right	RightArrow	1	2.39607090000209	7	7.00792770000407	7.51573400000052	9.49972820000403
4	1	4	distractor	23	Right	Left	LeftArrow	0	2.74466340000072	11	11.0169505000013	11.5067171000046	13.4979617999998
5	1	5	target	2	Left	Right	RightArrow	0	2.81819769999856	15	15.0035732000033	15.5230613000022	17.5018375
6	1	6	distractor	64	Right	Right	RightArrow	1	2.78907450000406	19	19.007869400004	19.4983944999985	21.4959921000045
7	1	7	distractor	43	Right	Left	LeftArrow	0	2.83341559999826	23	22.9995363000053	23.4993251000051	25.4938658000028
8	1	8	target	66	Left	Right	RightArrow	0	1.77756879999652	27	27.0008252000043	27.5009291000024	29.4933500000043
9	1	9	target	45	Left	Left	LeftArrow	1	1.12506890000077	31	31.0048342000009	31.4978016000023	33.493478000004
10	1	10	target	65	Left	Left	LeftArrow	1	1.91708720000315	35	34.9999915000008	35.4962130999993	37.4934110000031
11	1	11	target	44	Left	Right	RightArrow	0	1.96345989999827	39	39.0000355000011	39.5017509000027	41.4933267000015
12	1	12	distractor	24	Right			-1	0	43	42.9995320000016	43.4981621000043	45.4937837000034
