trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	43	None			NaN	0	0	0.0902905999973882	0.552646700001787	2.49862489999214
2	1	2	filler	45	None			NaN	0	3.5	3.51861220000137	4.04307400000107	5.99597950000316
3	1	3	target	44	Left	Left	LeftArrow	1	0.626933499996085	7	7.0181767000031	7.54149089999555	9.49346769999829
4	1	4	distractor	66	Right	Right	RightArrow	1	2.48404340000707	11	11.0112566000025	11.5403308999958	13.4985130999994
5	1	5	distractor	23	Right	Right	RightArrow	1	1.7264501999889	15	15.0134044000006	15.5462848000025	17.4933442000038
6	1	6	target	64	Left	Right	RightArrow	0	0.877283000008902	19	19.0263903000014	19.5359271999914	21.4934057999926
7	1	7	target	24	Left	Right	RightArrow	0	1.67894100000558	23	23.0060590999929	23.5360501999967	25.4934893000027
8	1	8	distractor	1	Right	Left	LeftArrow	0	1.00526049999462	27	27.0069001999946	27.5390688000043	29.4934667999914
9	1	9	target	22	Left	Right	RightArrow	0	1.99912939999194	31	31.0066693999979	31.5354147000035	33.4947286999959
10	1	10	target	3	Left	Left	LeftArrow	1	1.44295830000192	35	35.0055621999927	35.503758699997	37.4939860000013
11	1	11	distractor	2	Right	Right	RightArrow	1	1.50854019999679	39	39.0051463999989	39.5368567999976	41.4933994000021
12	1	12	distractor	65	Right	Left	LeftArrow	0	1.40048540000862	43	43.0053473000007	43.5368831999949	45.4934881999943
