trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	66	None			NaN	0	0	0.0515971000131685	0.503095799998846	2.49636250000913
2	1	2	filler	3	None			NaN	0	3.5	3.51006299999426	4.00052550001419	5.99460370000452
3	1	3	distractor	22	Right	Right	RightArrow	1	1.22489579999819	7	7.00904999999329	7.50281130001531	9.49345219999668
4	1	4	target	1	Left	Right	RightArrow	0	1.86408629998914	11	11.0073291000153	11.5003712000034	13.4936736999953
5	1	5	target	24	Left	Left	LeftArrow	1	1.93838430001051	15	15.0064822999993	15.4973649999883	17.4934566000011
6	1	6	distractor	44	Right	Right	RightArrow	1	0.923617899999954	19	19.0064640000055	19.4986740000022	21.4934281999886
7	1	7	target	23	Left	Left	LeftArrow	1	1.66431809999631	23	23.0062138999929	23.4991262000112	25.4939405999903
8	1	8	distractor	2	Right			-1	0	27	27.0068413999979	27.5020793000003	29.4982857000141
9	1	9	distractor	43	Right	Left	LeftArrow	0	1.37668000001577	31	31.0185609000036	31.4990012999915	33.493504699989
10	1	10	distractor	64	Right	Right	RightArrow	1	1.20425839998643	35	35.0061705000116	35.5012631000136	37.4933994000021
11	1	11	target	45	Left			-1	0	39	39.0056383000046	39.4971851000155	41.4965451000025
12	1	12	target	65	Left			-1	0	43	43.0192773000163	43.4972853999934	45.4957708000147
