trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	22	None			NaN	0	0	0.091056999983266	0.600038499920629	2.50266060000286
2	1	2	filler	1	None			NaN	0	3.5	3.5054436000064	4.00913799996488	5.99823629995808
3	1	3	target	24	Left			-1	0	7	7.01034449995495	7.51574019994587	9.499291599961
4	1	4	target	2	Left	Right	RightArrow	0	1.82056440005545	11	11.1237032999052	11.5059684999287	13.4934707999928
5	1	5	target	23	Left	Right	RightArrow	0	1.55421259999275	15	15.0038210999919	15.5304546999978	17.4939677999355
6	1	6	distractor	65	Right			-1	0	19	19.0314176999964	19.503990199999	21.4943045999389
7	1	7	distractor	44	Right	Left	LeftArrow	0	1.04109730001073	23	23.0248982999474	23.5026252999669	25.493456199998
8	1	8	target	66	Left	Right	RightArrow	0	0.775167399900965	27	27.0083203999093	27.4999094000086	29.4934770999243
9	1	9	distractor	3	Right	Right	RightArrow	1	2.84349570004269	31	31.0061946999049	31.4994563999353	33.4969610999105
10	1	10	target	64	Left	Left	LeftArrow	1	1.54859619995113	35	35.0075611999491	35.5006232999731	37.4934253999963
11	1	11	distractor	43	Right	Right	RightArrow	1	0.810506599955261	39	39.0057522999123	39.4966061000014	41.4934630999342
12	1	12	distractor	45	Right	Left	LeftArrow	0	0.810449799988419	43	43.0059669999173	43.4968241999159	45.493620299967
