trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	1	None			NaN	0	0	0.371330299996771	0.602643899968825	2.50116460002027
2	1	2	filler	44	None			NaN	0	3.5	3.51536850002594	4.01476090005599	6.00014120002743
3	1	3	target	2	Left	Left	LeftArrow	1	0.674926899955608	7	7.03406940004788	7.5116665000096	9.49347200000193
4	1	4	target	43	Left	Right	RightArrow	0	2.07512449997012	11	11.0174733999884	11.515995600028	13.4954963000491
5	1	5	target	3	Left			-1	0	15	15.0051668999949	15.5174863999709	17.5001763000619
6	1	6	distractor	24	Right	Right	RightArrow	1	1.77526539994869	19	19.0769927999936	19.5024543000618	21.4934723000042
7	1	7	distractor	65	Right			-1	0	23	22.9991347000469	23.5008523999713	25.4962813999737
8	1	8	target	23	Left	Left	LeftArrow	1	1.87583610008005	27	27.0253811000148	27.4975974999834	29.4934404999949
9	1	9	distractor	22	Right	Right	RightArrow	1	1.63907050003763	31	31.0051909000613	31.4960966999643	33.4934556999942
10	1	10	distractor	64	Right	Right	RightArrow	1	1.59637490008026	35	34.9999305000529	35.4970927999821	37.4934325000504
11	1	11	distractor	45	Right	Right	RightArrow	1	1.46155440004077	39	39.000106099993	39.5020298999734	41.4934768000385
12	1	12	target	66	Left	Left	LeftArrow	1	1.48566649993882	43	43.0054905000143	43.4971459000371	45.4934069999726
