trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	66	None			NaN	0	0	0.0988870000001043	0.50635450000118	2.49805429999833
2	1	2	filler	43	None			NaN	0	3.5	3.51613689999795	4.00297229999705	5.9943953999973
3	1	3	target	65	Left	Right	RightArrow	0	1.23606169999402	7	7.00789619999705	7.50053240000125	9.49348369999643
4	1	4	target	44	Left	Left	LeftArrow	1	2.34235020000051	11	11.0008280999973	11.501989299999	13.494389499996
5	1	5	target	64	Left	Left	LeftArrow	1	1.94658800000616	15	15.0054638000001	15.4991384999958	17.4934229999999
6	1	6	distractor	23	Right	Right	RightArrow	1	1.36859879999975	19	19.0003826999964	19.5017681999961	21.4934848999983
7	1	7	distractor	45	Right	Left	LeftArrow	0	1.46795069999644	23	23.0063594999956	23.499298499999	25.4934599999979
8	1	8	target	22	Left			-1	0	27	27.000670399997	27.4987456000017	29.4968825999968
9	1	9	distractor	3	Right	Right	RightArrow	1	1.19039060000068	31	31.0216068000009	31.5013643999991	33.4934596999956
10	1	10	distractor	1	Right	Right	RightArrow	1	1.58392839999578	35	35.0012887999983	35.5003012000016	37.4934509999948
11	1	11	distractor	24	Right	Left	LeftArrow	0	1.10309569999663	39	39.0007550000009	39.4988591000001	41.493309599995
12	1	12	target	2	Left	Left	LeftArrow	1	1.59808989999874	43	43.0047673000008	43.4991821000003	45.4934003999952
