trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	24	None			NaN	0	0	0.104136200039648	0.591432900051586	2.49957490002271
2	1	2	filler	44	None			NaN	0	3.5	3.51778029999696	4.01578340004198	5.9998863999499
3	1	3	distractor	2	Right	Right	RightArrow	1	1.08576659997925	7	7.01008479995653	7.5295282000443	9.49357309995685
4	1	4	target	45	Left	Left	LeftArrow	1	1.58864810003433	11	11.0058511999669	11.5051658999873	13.4934705999913
5	1	5	target	3	Left	Right	RightArrow	0	0.929998100036755	15	15.0060147000477	15.5546395999845	17.4934896000195
6	1	6	distractor	64	Right	Left	LeftArrow	0	1.06717259995639	19	19.004979499965	19.5012975999853	21.4934617000399
7	1	7	target	1	Left	Right	RightArrow	0	1.06734009995125	23	22.9997185999528	23.4962840999942	25.4935482000001
8	1	8	distractor	23	Right	Left	LeftArrow	0	1.1058685000753	27	27.0001297999406	27.4966449999483	29.4934433000162
9	1	9	distractor	66	Right	Left	LeftArrow	0	1.56586089998018	31	31.0062345999759	31.4976767000044	33.4935114999535
10	1	10	target	22	Left	Right	RightArrow	0	0.702495600096881	35	35.005512899952	35.5004964999389	37.4934137000237
11	1	11	target	65	Left	Left	LeftArrow	1	1.48241069994401	39	39.0068689000327	39.4991793000372	41.493497199961
12	1	12	distractor	43	Right	Right	RightArrow	1	1.13446229998954	43	43.0069390999852	43.4994686000282	45.4935000999831
