trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	2	None			NaN	0	0	0.0841933999909088	0.509815600002185	2.49938110000221
2	1	2	filler	45	None			NaN	0	3.5	3.50818389997585	4.000664399995	5.9986602999852
3	1	3	target	3	Left			-1	0	7	7.00454009999521	7.50007609999739	9.49483159999363
4	1	4	distractor	65	Right	Right	RightArrow	1	2.30615530000068	11	11.0264872999978	11.4969949999941	13.4937821999774
5	1	5	target	1	Left	Right	RightArrow	0	2.29727389995242	15	15.0054049000028	15.4952092000167	17.4982691999758
6	1	6	distractor	22	Right	Left	LeftArrow	0	1.33885780000128	19	19.0049976999871	19.4977557999664	21.4943815000006
7	1	7	distractor	43	Right	Right	RightArrow	1	2.16596940002637	23	22.9999929000041	23.4989710999653	25.4974482000107
8	1	8	target	24	Left	Right	RightArrow	0	2.200919099967	27	27.0051750999992	27.5012913999963	29.4972694999888
9	1	9	distractor	66	Right	Left	LeftArrow	0	1.71973020001315	31	31.0051691000117	31.4980783999781	33.493444999971
10	1	10	target	23	Left	Left	LeftArrow	1	2.57874369999627	35	35.004334199999	35.5014594999957	37.4988447999931
11	1	11	target	64	Left	Right	RightArrow	0	1.6028965000296	39	39.0000001000008	39.5016386999632	41.4930862999754
12	1	12	distractor	44	Right	Right	RightArrow	1	1.29566579998937	43	43.00005219999	43.4990505999885	45.4934070999734
