trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	23	None			NaN	0	0	0.0915542999864556	0.506182399985846	2.497186099994
2	1	2	filler	2	None			NaN	0	3.5	3.52390400000149	4.00380519998726	5.99660660000518
3	1	3	target	24	Left	Left	LeftArrow	1	0.981762300012633	7	7.01186779999989	7.50305589998607	9.49395309999818
4	1	4	distractor	64	Right	Right	RightArrow	1	0.847196099988651	11	11.0073820000107	11.5044657000108	13.492888400011
5	1	5	target	22	Left			-1	0	15	15.0048398000072	15.5049844000023	17.4951494999987
6	1	6	distractor	1	Right	Right	RightArrow	1	2.78993169998284	19	19.0192426999856	19.5005436000065	21.4977370999986
7	1	7	distractor	65	Right			-1	0	23	22.9978367000003	23.501454799989	25.4988141999929
8	1	8	target	3	Left	Left	LeftArrow	1	1.41515010001604	27	27.0147543000057	27.5032506999851	29.493539499992
9	1	9	target	66	Left			-1	0	31	30.9977761000046	31.5004009999975	33.4954792000062
10	1	10	distractor	45	Right	Right	RightArrow	1	1.18584970000666	35	35.0156572000124	35.5035588000028	37.4933933999855
11	1	11	distractor	44	Right	Right	RightArrow	1	2.02083569997922	39	39.006065900001	39.5000274000049	41.4993838999944
12	1	12	target	43	Left	Right	RightArrow	0	1.89548949999153	43	43.0060184999893	43.4984756000049	45.4937723999901
