trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	81	None			NaN	0	0	0.052663299953565	0.504217500099912	2.4998920999933
2	1	2	filler	2	None			NaN	0	3.5	3.51753369998187	4.00302630010992	5.99588049994782
3	1	3	distractor	3	Right	Right	RightArrow	1	2.23711059987545	7	7.00949719990604	7.50259730010293	9.49535019998439
4	1	4	target	4	Left			-1	0	11	11.0001387000084	11.5015082999598	13.4937424999662
5	1	5	distractor	78	Right	Left	LeftArrow	0	2.62660719989799	15	15.020457000006	15.5033321999945	17.499294300098
6	1	6	distractor	84	Right	Right	RightArrow	1	2.96138300001621	19	19.0059309999924	19.5048537999392	21.4956668000668
7	1	7	target	82	Left	Left	LeftArrow	1	2.09368779999204	23	22.9991898001172	23.496823299909	25.4942536000162
8	1	8	distractor	1	Right	Right	RightArrow	1	2.03573650005274	27	27.0008749000262	27.4983351998962	29.4943560000975
9	1	9	target	77	Left	Left	LeftArrow	1	1.22415150003508	31	31.0000895999838	31.503423999995	33.4931916999631
10	1	10	distractor	80	Right	Right	RightArrow	1	1.04173960001208	35	34.997921400005	35.4971139999107	37.4935715999454
11	1	11	target	79	Left	Left	LeftArrow	1	2.25336150010116	39	38.9989475000184	39.5025963999797	41.494942399906
12	1	12	target	83	Left	Right	RightArrow	0	1.31084509985521	43	43.0001409000251	43.4989390000701	45.4934731998947
