trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	45	None			NaN	0	0	0.138017099990975	0.560408699995605	2.50132379998104
2	1	2	filler	43	None			NaN	0	3.5	3.51839630000177	4.04055000000517	5.99711739999475
3	1	3	distractor	3	Right			-1	0	7	7.01926229998935	7.54490849998547	9.49563859999762
4	1	4	target	44	Left	Right	RightArrow	0	0.478658699983498	11	11.0800865000056	11.5379661000043	13.4933880000026
5	1	5	target	1	Left	Left	LeftArrow	1	1.21480919999885	15	15.0107849999913	15.5061388000031	17.4934156999807
6	1	6	distractor	64	Right	Left	LeftArrow	0	1.36380520000239	19	19.0259485999995	19.5404255999892	21.493447899993
7	1	7	distractor	23	Right	Right	RightArrow	1	1.71530570002506	23	23.0006823999865	23.5406652999809	25.493553599983
8	1	8	distractor	2	Right	Right	RightArrow	1	1.30883710001945	27	27.0066037999932	27.5380928999803	29.493968499999
9	1	9	target	22	Left	Left	LeftArrow	1	1.68472530000145	31	31.0005410999875	31.5020321999909	33.493405199988
10	1	10	distractor	66	Right	Left	LeftArrow	0	1.64478910001344	35	35.0057912000048	35.5361435999803	37.4934152999776
11	1	11	target	24	Left	Right	RightArrow	0	1.72767590000876	39	38.9998006999958	39.5360058999795	41.4934262000024
12	1	12	target	65	Left	Left	LeftArrow	1	1.15190349999466	43	42.9998502999952	43.5394736999879	45.4935035999806
