trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	65	None			NaN	0	0	0.0787367000011727	0.506302000023425	2.49502379994374
2	1	2	filler	66	None	Left	LeftArrow	NaN	1.69168629997876	3.5	3.50684970000293	4.00091299996711	5.99356420000549
3	1	3	distractor	2	Right			-1	0	7.5	7.49877399997786	8.00155869999435	9.99922030000016
4	1	4	target	64	Left	Left	LeftArrow	1	2.23465680005029	11.5	11.5098521999316	11.9985530999256	13.9971786999376
5	1	5	target	3	Left	Left	LeftArrow	1	2.27627749997191	15.5	15.5046204000246	15.9974714999553	17.9963119999738
6	1	6	distractor	23	Right			-1	0	19.5	19.5001068999991	20.0004559999797	21.9955207000021
7	1	7	distractor	45	Right	Left	LeftArrow	0	2.02214629994705	23.5	23.5125036999816	23.9966256000334	25.9991537999595
8	1	8	distractor	1	Right	Right	RightArrow	1	1.83459119999316	27.5	27.5000534999417	27.9993046999443	29.9934872000013
9	1	9	target	44	Left	Right	RightArrow	0	2.34451239998452	31.5	31.5054426999995	31.9993405999849	33.9985890999669
10	1	10	distractor	24	Right	Left	LeftArrow	0	2.9170569999842	35.5	35.5000865999609	35.9966235000174	37.9941776000196
11	1	11	target	43	Left	Left	LeftArrow	1	2.12800089991651	39.5	39.5040952999843	40.001212000032	41.9948452999815
12	1	12	target	22	Left	Left	LeftArrow	1	1.85208789992612	43.5	43.4994931999827	43.9984401999973	45.9934502999531
