trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	79	None			NaN	0	0	0.0856386999948882	0.50719409994781	2.49855669995304
2	1	2	filler	77	None			NaN	0	3.5	3.51518199994462	4.00689199997578	5.99473049998051
3	1	3	target	82	Left	Left	LeftArrow	1	1.9511794000282	7	7.00870479998412	7.50505509995855	9.49337699997704
4	1	4	distractor	3	Right	Right	RightArrow	1	1.80494649999309	11	11.006356399972	11.5132135999738	13.4935039999546
5	1	5	target	83	Left	Left	LeftArrow	1	2.22231490002014	15	14.9998603999848	15.5041510999436	17.4974111999618
6	1	6	distractor	80	Right	Left	LeftArrow	0	1.81641119997948	19	18.9994573999429	19.5009632000001	21.4934820999624
7	1	7	target	81	Left	Left	LeftArrow	1	2.01422940002521	23	23.0053220999544	23.5008880999521	25.4943974999478
8	1	8	target	78	Left	Right	RightArrow	0	2.14921399997547	27	27.0054528999608	27.4991888999939	29.495626399992
9	1	9	distractor	1	Right	Right	RightArrow	1	1.48428790003527	31	31.00529619999	31.501378899964	33.4937343999627
10	1	10	distractor	2	Right	Right	RightArrow	1	1.78579819999868	35	35.004315499973	35.4977782999631	37.4934286999633
11	1	11	target	4	Left	Left	LeftArrow	1	1.79700249998132	39	39.0046577999601	39.4992626999738	41.4933338999981
12	1	12	distractor	84	Right	Neither	PageDown	0	1.04571439995198	43	42.9984901999705	43.5005957999965	45.4934396999888
