trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	43	None			NaN	0	0	0.0893320000031963	0.538488899997901	2.49848139999085
2	1	2	filler	65	None			NaN	0	3.5	3.51952649999293	4.00613709999016	5.99724349999451
3	1	3	distractor	3	Right	Right	RightArrow	1	1.24839849999989	7	7.01293630000146	7.54031129999203	9.49347489999491
4	1	4	distractor	23	Right	Left	LeftArrow	0	1.31870170000184	11	11.0078032000019	11.5389927999931	13.4940954999911
5	1	5	target	1	Left	Left	LeftArrow	1	1.2191060000041	15	15.0064524999907	15.539929999999	17.4940937999927
6	1	6	target	24	Left	Right	RightArrow	0	1.48284880000574	19	19.0065886999946	19.5432292999903	21.4935659000039
7	1	7	target	2	Left	Left	LeftArrow	1	1.62699570000404	23	23.006859400004	23.5412536999938	25.4935541000013
8	1	8	distractor	45	Right	Right	RightArrow	1	1.55377329999465	27	27.0067081000016	27.5027116999991	29.4934237999987
9	1	9	distractor	64	Right	Left	LeftArrow	0	1.44538010000542	31	31.007220200001	31.5348629999935	33.4934838999907
10	1	10	target	44	Left	Left	LeftArrow	1	1.80971780000255	35	35.0070358999947	35.5379513999942	37.4933982999937
11	1	11	target	66	Left	Left	LeftArrow	1	1.62519279999833	39	39.007847300003	39.5378265000036	41.493444599997
12	1	12	distractor	22	Right	Right	RightArrow	1	1.06780140000046	43	43.0064711000014	43.5410634	45.4934704999905
