trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	45	None			NaN	0	0	0.0545446999603882	0.523294699960388	2.4986672999803
2	1	2	filler	44	None			NaN	0	3.5	3.51438619999681	3.9992241000291	5.99387959996238
3	1	3	distractor	64	Right	Right	RightArrow	1	0.671779200085439	7	7.00642840005457	7.49617359996773	9.49334209994413
4	1	4	target	43	Left			-1	0	11	11.0071967999684	11.5010334999533	13.4982510999544
5	1	5	distractor	23	Right	Right	RightArrow	1	1.86893600004259	15	15.0171439000405	15.5010665999725	17.4934337999439
6	1	6	distractor	22	Right	Right	RightArrow	1	0.942941299988888	19	18.9999805999687	19.4987916999962	21.4934365999652
7	1	7	distractor	1	Right	Right	RightArrow	1	1.32097580004483	23	22.999572700006	23.5006340999389	25.493374099955
8	1	8	target	24	Left	Right	RightArrow	0	2.60771370003931	27	27.0000633000163	27.5007910999702	29.4967595000053
9	1	9	target	3	Left	Left	LeftArrow	1	1.27960829995573	31	31.0054151000222	31.4978912000079	33.4934633000521
10	1	10	distractor	66	Right	Right	RightArrow	1	1.2490704000229	35	35.0052275999915	35.4967621000251	37.4936195999617
11	1	11	target	2	Left	Left	LeftArrow	1	0.848340100026689	39	38.9998626000015	39.4965563999722	41.4933524000226
12	1	12	target	65	Left	Left	LeftArrow	1	1.68467870005406	43	43.0003548000241	43.5019066999666	45.4933453999693
