trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	81	None			NaN	0	0	0.0723129999823868	0.526741200010292	2.49566730007064
2	1	2	filler	2	None			NaN	0	3.5	3.52012910007033	4.00507359998301	6.00098750006873
3	1	3	target	80	Left			-1	0	7	7.0192913999781	7.50538810004946	9.50023160001729
4	1	4	target	1	Left	Left	LeftArrow	1	1.77814070007298	11	11.1207988000242	11.5004695999669	13.4934072999749
5	1	5	target	78	Left			-1	0	15	15.0137484000297	15.5049550000113	17.4987074000528
6	1	6	distractor	79	Right			-1	0	19	19.0487309000455	19.4984206999652	21.4975031999638
7	1	7	distractor	4	Right			-1	0	23	23.0083165999968	23.4993087999756	25.4965796000324
8	1	8	target	77	Left	Left	LeftArrow	1	2.11288680008147	27	27.0176355000585	27.5014516999945	29.4999218999874
9	1	9	distractor	84	Right	Left	LeftArrow	0	1.3972347000381	31	31.0001673999941	31.5003526000073	33.4933366000187
10	1	10	distractor	3	Right			-1	0	35	35.0052694999613	35.497486700071	37.4969217000762
11	1	11	target	82	Left	Left	LeftArrow	1	1.76424200006295	39	39.0219080999959	39.5015903000021	41.4934078999795
12	1	12	distractor	83	Right			-1	0	43	43.0048929000041	43.4977174999658	45.4982312000357
