trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	22	None			NaN	0	0	0.0494682000717148	0.579019400058314	2.49995450000279
2	1	2	filler	24	None			NaN	0	3.5	3.51852700009476	4.00943930004723	5.99476320005488
3	1	3	distractor	2	Right	Right	RightArrow	1	1.83691509999335	7	7.01064039999619	7.50985590007622	9.49342559999786
4	1	4	target	23	Left			-1	0	11	10.9996120000724	11.5071883000201	13.4975600000471
5	1	5	distractor	45	Right			-1	0	15	15.0098211000441	15.5180304000387	17.4992734000552
6	1	6	distractor	43	Right	Right	RightArrow	1	1.97352580004372	19	19.0085987000493	19.4986889000284	21.4934175000526
7	1	7	target	44	Left			-1	0	23	23.0051576000405	23.4975551000098	25.4988733000355
8	1	8	distractor	66	Right			-1	0	27	27.0148718000855	27.4968570000492	29.4982389000943
9	1	9	distractor	1	Right	Right	RightArrow	1	1.3412150000222	31	31.0150011000223	31.4995190000627	33.4934740000172
10	1	10	target	65	Left			-1	0	35	35.0042200000025	35.4967748000054	37.4990126000484
11	1	11	target	3	Left			-1	0	39	39.0135095000733	39.4961461999919	41.4989716000855
12	1	12	target	64	Left	Left	LeftArrow	1	1.77370649995282	43	43.00914129999	43.4990952000953	45.4934091999894
