trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	77	None			NaN	0	0	0.0832275999709964	0.505249900044873	2.49461030005477
2	1	2	filler	81	None			NaN	0	3.5	3.50626090005971	4.0004634000361	5.99478020006791
3	1	3	distractor	1	Right	Right	RightArrow	1	1.91475220001303	7	7.00817229994573	7.4989549999591	9.49336620001122
4	1	4	target	84	Left			-1	0	11	11.0063056999352	11.5054516999517	13.4995380998589
5	1	5	distractor	82	Right			-1	0	15	15.0183351999149	15.4983645998873	17.4939530000556
6	1	6	distractor	2	Right			-1	0	19	19.0144821999129	19.5018551000394	21.4941467999015
7	1	7	target	80	Left	Right	RightArrow	0	1.52486450015567	23	23.009332299931	23.4976742998697	25.4934695998672
8	1	8	target	4	Left			-1	0	27	26.9994661000092	27.5037282998674	29.4995504999533
9	1	9	target	79	Left	Left	LeftArrow	1	1.51803199993446	31	31.0201610999648	31.4979924999643	33.4934731000103
10	1	10	distractor	83	Right	Left	LeftArrow	0	2.66916829999536	35	35.006743399892	35.5020834999159	37.4944951999933
11	1	11	target	78	Left			-1	0	39	39.0063628000207	39.4972796000075	41.4957210000139
12	1	12	distractor	3	Right	Right	RightArrow	1	0.0910122999921441	43	43.0187963000499	43.4970029999968	45.4934465000406
