trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	3	None			NaN	0	0	0.0773388000088744	0.501646700024139	2.49582940002438
2	1	2	filler	80	None			NaN	0	3.5	3.51891119999345	4.00541450001765	5.99508449999848
3	1	3	target	1	Left	Right	RightArrow	0	1.14512820000527	7	7.0072533999919	7.49979770003119	9.493077000021
4	1	4	target	83	Left			-1	0	11	10.9976372999954	11.4991246000282	13.4961861000047
5	1	5	distractor	77	Right	Left	LeftArrow	0	1.31793240003753	15	15.013465200027	15.5021398999961	17.4933837000281
6	1	6	distractor	2	Right			-1	0	19	19.0059774999972	19.4951800000272	21.4963114000275
7	1	7	distractor	4	Right	Right	RightArrow	1	2.46729800000321	23	23.0114273999934	23.4970077000326	25.4964077000041
8	1	8	distractor	79	Right	Right	RightArrow	1	2.04298229998676	27	26.9993368000141	27.499421000015	29.4988496000296
9	1	9	distractor	78	Right	Right	RightArrow	1	1.36129610001808	31	30.9993452000199	31.498579600011	33.4934389000409
10	1	10	target	84	Left	Left	LeftArrow	1	2.38445200002752	35	35.0009699999937	35.5009084999911	37.4977103000274
11	1	11	target	81	Left			-1	0	39	39.0004657999962	39.4986033000168	41.4947936999961
12	1	12	target	82	Left	Left	LeftArrow	1	2.40065249998588	43	43.01755400002	43.4985432000249	45.4941326000262
