trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	1	None			NaN	0	0	0.130348200000299	0.566523699999379	2.50115359999472
2	1	2	filler	23	None			NaN	0	3.5	3.5132278999954	4.01384639999742	6.00019039999461
3	1	3	distractor	22	Right	Right	RightArrow	1	2.71182319999934	7	7.01468689999456	7.51757609999913	9.49971689999802
4	1	4	target	24	Left			-1	0	11	11.0166322999939	11.5068920999984	13.4949379999962
5	1	5	distractor	2	Right			-1	0	15	15.0347967999987	15.5359729999982	17.4980584000004
6	1	6	distractor	65	Right	Left	LeftArrow	0	1.81596450000507	19	19.0464204999953	19.4988162999944	21.4938831999971
7	1	7	distractor	43	Right	Right	RightArrow	1	2.0470967999936	23	23.0052667999989	23.5001806	25.4942602999945
8	1	8	target	66	Left	Left	LeftArrow	1	1.99292710000009	27	27.0078880999936	27.4986493999968	29.4952941999945
9	1	9	target	44	Left	Right	RightArrow	0	1.84020639999653	31	30.9994627999986	31.4999013999986	33.4934284999981
10	1	10	target	64	Left			-1	0	35	35.0048925999945	35.5013597999932	37.4975418999966
11	1	11	target	45	Left	Left	LeftArrow	1	2.17908510000416	39	39.0214813999992	39.4972981999963	41.4972041000001
12	1	12	distractor	3	Right	Left	LeftArrow	0	1.99276380000083	43	43.0054813999959	43.4963920999944	45.4931778999962
