trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	79	None			NaN	0	0	0.0657690000007278	0.525114299998677	2.495597000001
2	1	2	filler	83	None			NaN	0	3.5	3.51094269999885	4.00544919999811	5.99552969999786
3	1	3	target	78	Left	Left	LeftArrow	1	1.56295300000056	7	7.01739059999818	7.50661399999808	9.49339920000057
4	1	4	distractor	3	Right	Right	RightArrow	1	2.26622549999593	11	11.0109165999966	11.4994608999987	13.4978002999997
5	1	5	distractor	1	Right	Left	LeftArrow	0	1.85154229999898	15	15.0113362999982	15.5046274999986	17.4933049999963
6	1	6	distractor	82	Right	Right	RightArrow	1	1.90237229999912	19	19.0063358999978	19.497910099999	21.4933878999946
7	1	7	target	2	Left	Right	RightArrow	0	1.24566380000033	23	22.9992046999978	23.4994662999961	25.4930437000003
8	1	8	target	81	Left	Right	RightArrow	0	1.42787390000012	27	27.0008429000009	27.5010442999992	29.4933536999961
9	1	9	distractor	77	Right	Left	LeftArrow	0	1.26848800000153	31	31.0002658000012	31.5002690999972	33.4929975999985
10	1	10	target	80	Left	Right	RightArrow	0	0.942016100001638	35	34.9988087999955	35.5016977999985	37.4933623999968
11	1	11	distractor	4	Right	Left	LeftArrow	0	0.415403500002867	39	38.9988827999987	39.5018534999981	41.4930877000006
12	1	12	target	84	Left	Both	LeftArrow|RightArrow	0	0.805140500000562	43	42.9998919999998	43.5021239999987	45.4930328999981
