trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	24	None			NaN	0	0	0.0497639999957755	0.504386699991301	2.49876570000197
2	1	2	filler	2	None			NaN	0	3.5	3.51051449999795	4.00388500001281	5.99578269998892
3	1	3	target	22	Left	Left	LeftArrow	1	1.84794740000507	7	7.01251450000564	7.50554159999592	9.49342980000074
4	1	4	distractor	45	Right	Right	RightArrow	1	1.77132930001244	11	11.0055455999973	11.5043749999895	13.4935055999958
5	1	5	target	23	Left	Right	RightArrow	0	2.417163599981	15	15.0003018999996	15.4997828000051	17.4998329000082
6	1	6	target	43	Left	Right	RightArrow	0	1.96878419999848	19	19.00517270001	19.5039378000074	21.4934232000087
7	1	7	distractor	44	Right	Right	RightArrow	1	2.70383899999433	23	22.999631499988	23.5041180000117	25.4989899999928
8	1	8	distractor	65	Right	Right	RightArrow	1	1.97590320001473	27	26.9989936999918	27.504062299995	29.4934244999895
9	1	9	distractor	64	Right	Right	RightArrow	1	1.95630379999056	31	30.9988743999857	31.5018917999987	33.4934248999925
10	1	10	distractor	1	Right	Right	RightArrow	1	1.82594660000177	35	35.0002736999886	35.5004383999913	37.4934454000031
11	1	11	target	66	Left	Left	LeftArrow	1	1.98015329998452	39	39.0002971999929	39.5017097000091	41.4932990999951
12	1	12	target	3	Left	Left	LeftArrow	1	2.92073589999927	43	43.0000982999918	43.5042278000037	45.4989174999937
