trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	79	None			NaN	0	0	0.0846364000171889	0.499183300009463	2.49562530001276
2	1	2	filler	3	None			NaN	0	3.5	3.51452580001205	4.00182060000952	5.99876539999968
3	1	3	target	81	Left	Right	RightArrow	0	1.01334109998425	7	7.00513090001186	7.50260140001774	9.493266400008
4	1	4	target	2	Left			-1	0	11	10.9989218999981	11.5029460000223	13.4981224000221
5	1	5	target	80	Left	Left	LeftArrow	1	1.92382949998137	15	15.0113953000109	15.5011066000152	17.4934872000013
6	1	6	distractor	84	Right	Left	LeftArrow	0	1.5997333000123	19	18.9999592000095	19.5019650000031	21.4934918000072
7	1	7	target	82	Left			-1	0	23	22.9998369000095	23.500111100002	25.4987497999973
8	1	8	distractor	4	Right	Left	LeftArrow	0	1.3264424999943	27	27.0150398999976	27.4996757000044	29.493441700004
9	1	9	distractor	1	Right	Right	RightArrow	1	0.936997799988603	31	30.9990906000021	31.497368100012	33.4935103000025
10	1	10	distractor	83	Right			-1	0	35	35.0056779000151	35.4999348999991	37.4977173999941
11	1	11	distractor	77	Right	Right	RightArrow	1	0.646156300004805	39	39.0087072000024	39.5008814000175	41.4933600000222
12	1	12	target	78	Left	Right	RightArrow	0	1.18719919997966	43	42.9988073999994	43.5019520000205	45.4934068000002
