trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	44	None			NaN	0	0	0.0901297000236809	0.538309599971399	2.49568059993908
2	1	2	filler	43	None			NaN	0	3.5	3.52534489997197	4.04015989997424	5.99918299994897
3	1	3	distractor	65	Right	Right	RightArrow	1	1.35414459998719	7	7.0013145999983	7.53838569996879	9.4934673999669
4	1	4	target	45	Left	Left	LeftArrow	1	1.52902580006048	11	10.9998880999628	11.5041668999474	13.4933916999726
5	1	5	distractor	23	Right	Right	RightArrow	1	1.30689399992116	15	14.9999442000408	15.5393582000397	17.4933748999611
6	1	6	distractor	1	Right	Left	LeftArrow	0	1.79713069996797	19	19.000287199975	19.5385233999696	21.4929844000144
7	1	7	target	24	Left	Right	RightArrow	0	1.24962070002221	23	23.005360799958	23.5357865999686	25.4935237999307
8	1	8	target	2	Left			-1	0	27	26.999993299949	27.5351272999542	29.4951890000375
9	1	9	target	22	Left	Right	RightArrow	0	1.50524129997939	31	31.0145502999658	31.5389134000288	33.4934169999324
10	1	10	distractor	66	Right	Left	LeftArrow	0	1.53542390000075	35	34.9999400000088	35.5374429000076	37.4935049000196
11	1	11	distractor	3	Right	Left	LeftArrow	0	1.49535750003997	39	38.9988902999321	39.5415357999736	41.4934397999896
12	1	12	target	64	Left	Right	RightArrow	0	1.14822540001478	43	42.9998911999865	43.5377949000103	45.4934722000035
