trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	3	None			NaN	0	0	0.0476433001458645	0.512531100073829	2.49907480017282
2	1	2	filler	22	None			NaN	0	3.5	3.5076252000872	3.99591570021585	5.9965722002089
3	1	3	target	2	Left	Left	LeftArrow	1	1.70657870010473	7	7.00409010006115	7.4965530000627	9.49344510002993
4	1	4	distractor	45	Right			-1	0	11	11.0006346001755	11.5001014000736	13.4954693000764
5	1	5	distractor	44	Right	Left	LeftArrow	0	1.82157290005125	15	15.0106736000162	15.4986795000732	17.4934296000283
6	1	6	target	43	Left	Right	RightArrow	0	0.823269600048661	19	19.0049524002243	19.5017083000857	21.4934414001182
7	1	7	distractor	24	Right	Left	LeftArrow	0	1.55175850004889	23	23.0002304001246	23.4959394000471	25.4933876001742
8	1	8	distractor	66	Right	Right	RightArrow	1	1.97792139998637	27	27.0004381001927	27.5011875000782	29.4934519000817
9	1	9	target	23	Left	Left	LeftArrow	1	1.86421909998171	31	31.0000838001724	31.4992778000887	33.4933941001073
10	1	10	target	64	Left	Right	RightArrow	0	1.76592279993929	35	35.0050934001338	35.4995357000735	37.4934178001713
11	1	11	distractor	1	Right	Right	RightArrow	1	1.38123019994237	39	39.0045132001396	39.4996584001929	41.4930827000644
12	1	12	target	65	Left	Left	LeftArrow	1	1.73717710003257	43	42.9998941000085	43.5011422000825	45.4933809000067
