trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	23	None			NaN	0	0	0.08207979996223	0.52399549994152	2.49713519995566
2	1	2	filler	22	None			NaN	0	3.5	3.5199358999962	4.00819780002348	6.00111279997509
3	1	3	distractor	66	Right	Right	RightArrow	1	2.17540840001311	7	7.0180415000068	7.50508829997852	9.49987229995895
4	1	4	target	24	Left	Left	LeftArrow	1	1.41454469994642	11	11.0129935999867	11.501803399995	13.4934752000263
5	1	5	target	64	Left	Right	RightArrow	0	1.04886760003865	15	15.0129182999954	15.5059132999741	17.4934354999568
6	1	6	distractor	1	Right	Left	LeftArrow	0	1.22902059997432	19	19.0284311999567	19.5054622000316	21.4934977999656
7	1	7	distractor	45	Right	Right	RightArrow	1	1.33732759999111	23	23.0072789000114	23.5008429000154	25.4934423000086
8	1	8	target	3	Left	Left	LeftArrow	1	1.34882579999976	27	27.008866499993	27.5000015000114	29.4934547999874
9	1	9	target	44	Left	Left	LeftArrow	1	2.13647619995754	31	31.005473600002	31.4997409000061	33.5002253999701
10	1	10	distractor	65	Right	Right	RightArrow	1	1.47030529996846	35	35.0019674999639	35.501145599992	37.4937396999449
11	1	11	target	43	Left	Right	RightArrow	0	2.32681180001236	39	38.999016399961	39.502965599997	41.4938121000305
12	1	12	distractor	2	Right	Right	RightArrow	1	2.22355750005227	43	43.0001975999912	43.5048685999354	45.4959878999507
