trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	2	None			NaN	0	0	0.0532439000089653	0.521874500031117	2.50025440001627
2	1	2	filler	24	None			NaN	0	3.5	3.5166035000002	4.00161310000112	5.99481520004338
3	1	3	target	1	Left	Right	RightArrow	0	1.43167829996673	7	7.00317930005258	7.49744490004377	9.49345850001555
4	1	4	target	23	Left			-1	0	11	11.0056830000249	11.5014693000121	13.4985424000188
5	1	5	target	3	Left			-1	0	15	15.0112155000097	15.4933983000228	17.4974774000002
6	1	6	distractor	45	Right	Left	LeftArrow	0	1.34400909999385	19	19.0105421000044	19.4960369000328	21.4934131000191
7	1	7	distractor	43	Right	Right	RightArrow	1	1.17282020003768	23	23.0051997000119	23.4962332000141	25.4938800000236
8	1	8	distractor	64	Right	Right	RightArrow	1	1.84214030002477	27	26.9999140000436	27.4980229000212	29.4934367000242
9	1	9	distractor	22	Right	Left	LeftArrow	0	0.96873580000829	31	30.9979009000235	31.5016700000269	33.4930490000406
10	1	10	target	65	Left	Left	LeftArrow	1	1.99311729997862	35	34.9994229000295	35.4967267000466	37.4933258999954
11	1	11	distractor	44	Right	Right	RightArrow	1	2.10653220000677	39	39.0023634000099	39.4961855000001	41.4983810000122
12	1	12	target	66	Left	Right	RightArrow	0	1.92452209995827	43	42.9992959000519	43.4960008000489	45.4934322000481
