trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	79	None			NaN	0	0	0.311988199828193	0.520602199947461	2.49767909990624
2	1	2	filler	4	None			NaN	0	3.5	3.52705110004172	3.99811829999089	5.99773059994914
3	1	3	target	81	Left	Left	LeftArrow	1	1.11510199983604	7	7.05785680003464	7.52348600002006	9.49339259997942
4	1	4	target	2	Left	Left	LeftArrow	1	1.46882650000043	11	11.014004800003	11.53452739981	13.4933984000236
5	1	5	target	83	Left	Left	LeftArrow	1	1.83657289994881	15	15.0104569999967	15.5056674999651	17.4934410999995
6	1	6	distractor	80	Right	Right	RightArrow	1	1.74920779978856	19	19.0246539998334	19.4993459000252	21.4933984000236
7	1	7	target	82	Left	Left	LeftArrow	1	1.99136729980819	23	23.0054639999289	23.5001991000026	25.4965886999853
8	1	8	target	77	Left	Left	LeftArrow	1	1.35108850011602	27	27.006820499897	27.5015985998325	29.4935080998112
9	1	9	distractor	1	Right	Right	RightArrow	1	1.31041690008715	31	31.0000857999548	31.4967868998647	33.493438599864
10	1	10	distractor	3	Right	Left	LeftArrow	0	1.81933900015429	35	34.9999169998337	35.4964281998109	37.4934590999037
11	1	11	distractor	78	Right	Right	RightArrow	1	1.65406020008959	39	39.0044244998135	39.5012606999371	41.4933633999899
12	1	12	distractor	84	Right	Right	RightArrow	1	2.35846849996597	43	43.0048934998922	43.500626699999	45.496392800007
