trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	79	None			NaN	0	0	0.101193300011801	0.503112700011116	2.5002930000046
2	1	2	filler	77	None			NaN	0	3.5	3.51820780000708	4.00420039999881	5.99967770000512
3	1	3	target	80	Left	Left	LeftArrow	1	1.2918151000049	7	7.0120789000066	7.49909460000345	9.49345740000717
4	1	4	distractor	1	Right			-1	0	11	11.014441700012	11.5002679000027	13.4986651000072
5	1	5	distractor	4	Right			-1	0	15	15.0242060000019	15.5035384000075	17.4941638000018
6	1	6	distractor	81	Right	Left	LeftArrow	0	1.43161990000226	19	19.0148129000008	19.4986814000004	21.4935028000036
7	1	7	distractor	82	Right	Right	RightArrow	1	2.12070700000913	23	23.0001689000055	23.5017945	25.4979682000121
8	1	8	target	83	Left	Left	LeftArrow	1	1.53197900000669	27	27.0051487000019	27.4998415000009	29.4934422000078
9	1	9	distractor	3	Right	Right	RightArrow	1	1.06526570000278	31	31.0047935000039	31.4996896000084	33.4934903000103
10	1	10	target	78	Left	Left	LeftArrow	1	1.1512042000104	35	35.0053458000039	35.4999348999991	37.4933892000117
11	1	11	target	2	Left	Right	RightArrow	0	0.770470999996178	39	39.0047118000075	39.5008643000037	41.4934199999989
12	1	12	target	84	Left	Right	RightArrow	0	1.30575080000563	43	43.0006449000066	43.5015063000028	45.4933382000017
