trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	77	None			NaN	0	0	0.0991751000001386	0.506088300000556	2.49863740000001
2	1	2	filler	79	None			NaN	0	3.5	3.50819559999945	4.00524109999969	5.99378360000082
3	1	3	distractor	2	Right	Right	RightArrow	1	1.38290020000022	7	7.0066597999994	7.50302159999956	9.49349210000037
4	1	4	target	82	Left	Right	RightArrow	0	1.94438239999909	11	11.0058523999996	11.4989086000005	13.4933528000001
5	1	5	target	4	Left	Left	LeftArrow	1	2.38207409999995	15	15.0007538999998	15.5017578999996	17.4975231000008
6	1	6	target	81	Left	Left	LeftArrow	1	1.85594250000031	19	19.0054973000006	19.4985403999999	21.4933813000007
7	1	7	distractor	80	Right	Left	LeftArrow	0	1.60063900000023	23	23.0053865999998	23.4980555000002	25.4937196999999
8	1	8	target	78	Left	Left	LeftArrow	1	2.02842760000021	27	27.0052001999993	27.4988080000003	29.4944622999992
9	1	9	target	83	Left	Left	LeftArrow	1	1.87272320000011	31	31.0048241999993	31.5000822000002	33.4934348000006
10	1	10	distractor	1	Right	Right	RightArrow	1	1.29987419999998	35	35.0084919000001	35.4990362000008	37.4933954000007
11	1	11	distractor	3	Right	Left	LeftArrow	0	1.33668989999933	39	39.0050365999996	39.4983293000005	41.4934298000007
12	1	12	distractor	84	Right	Right	RightArrow	1	1.60721390000072	43	43.0003410000008	43.5019460999993	45.4934503999993
