trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	66	None			NaN	0	0	0.0835491999750957	0.536422099918127	2.49729369999841
2	1	2	filler	43	None			NaN	0	3.5	3.51478079997469	4.04072879999876	5.99862510000821
3	1	3	target	65	Left	Left	LeftArrow	1	1.91351379989646	7	7.01098080002703	7.50336650002282	9.49342850001995
4	1	4	target	44	Left	Left	LeftArrow	1	2.13698910002131	11	11.0053020999767	11.5366784000071	13.4989161000121
5	1	5	target	64	Left	Right	RightArrow	0	2.78516820003279	15	14.9997737000231	15.5400505999569	17.4953940999694
6	1	6	target	45	Left	Left	LeftArrow	1	2.04644139995798	19	19.0001632999629	19.5366342000198	21.4980333999265
7	1	7	distractor	3	Right	Right	RightArrow	1	1.80822379991878	23	23.0051449999446	23.5360995000228	25.4934217999689
8	1	8	distractor	2	Right	Left	LeftArrow	0	2.07289660000242	27	27.0056739000138	27.5371610999573	29.4937903999817
9	1	9	distractor	23	Right	Right	RightArrow	1	1.50236159993801	31	31.0056049999548	31.5365424000192	33.4930940999184
10	1	10	distractor	24	Right	Left	LeftArrow	0	2.06987220002338	35	35.0047503999667	35.5367494999664	37.4979616999626
11	1	11	distractor	1	Right	Right	RightArrow	1	1.02394400001504	39	39.0000765000004	39.5381242999574	41.4933785999892
12	1	12	target	22	Left	Left	LeftArrow	1	1.71504090004601	43	42.9997102000052	43.5387188999448	45.4934566000011
