trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	80	None			NaN	0	0	0.0893505000276491	0.505591599969193	2.50133360002656
2	1	2	filler	78	None	Right	RightArrow	NaN	2.49934730003588	3.5	3.5178859999869	4.00428979995195	5.99884200002998
3	1	3	target	82	Left			-1	0	7.5	7.50066440005321	7.99735610000789	9.99564059998374
4	1	4	target	79	Left			-1	0	11.5	11.5151906999527	11.9953871000325	13.994953699992
5	1	5	distractor	2	Right	Left	LeftArrow	0	1.6899917999981	15.5	15.5083338000113	15.9989834999433	17.9933431999525
6	1	6	distractor	3	Right	Right	RightArrow	1	1.73904630006291	19.5	19.5051247000229	20.0001194999786	21.9935270999558
7	1	7	distractor	84	Right	Left	LeftArrow	0	2.37095880007837	23.5	23.499185499968	24.0021026999457	25.9996407999424
8	1	8	distractor	77	Right	Right	RightArrow	1	1.86033699999098	27.5	27.4998957000207	27.9982253999915	29.99342720001
9	1	9	distractor	1	Right	Right	RightArrow	1	2.07160729996394	31.5	31.4995963999536	31.9980925000273	33.9989008000121
10	1	10	target	83	Left	Right	RightArrow	0	1.45250250003301	35.5	35.4989934000187	36.0024593999842	37.9933980000205
11	1	11	target	4	Left	Left	LeftArrow	1	1.35429339995608	39.5	39.5048171000089	40.0012287000427	41.9934210999636
12	1	12	target	81	Left	Left	LeftArrow	1	1.31209819996729	43.5	43.4999206999782	44.0023757000454	45.993463999941
