trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	77	None	Left	LeftArrow	NaN	2.42728269999498	0	0.0863326999970013	0.506004499999108	2.4947444999998
2	1	2	filler	2	None	Right	RightArrow	NaN	1.27138659999764	4	4.00047699999413	4.50554759999795	6.493492900001
3	1	3	target	81	Left	Left	LeftArrow	1	1.46807210000406	8	7.99991250000312	8.50062829999661	10.4935076999973
4	1	4	target	1	Left	Right	RightArrow	0	1.14609660000133	12	12.0000419999997	12.503523899999	14.4937531000032
5	1	5	target	78	Left	Left	LeftArrow	1	1.15593340000487	16	16.0001527999993	16.5030666999955	18.4933448999946
6	1	6	distractor	80	Right			-1	0	20	19.9993070999917	20.4992466999975	22.4978479999991
7	1	7	distractor	3	Right	Right	RightArrow	1	1.63945989999047	24	24.0146793000022	24.5029989000031	26.493490199995
8	1	8	distractor	4	Right	Left	LeftArrow	0	1.40176530000463	28	28.004394100004	28.499576999995	30.4934928000002
9	1	9	distractor	82	Right	Left	LeftArrow	0	1.05649139999878	32	32.0049417999981	32.5018333000044	34.4934156999952
10	1	10	distractor	79	Right			-1	0	36	35.9998937000055	36.5000240999943	38.4949516999914
11	1	11	target	84	Left	Left	LeftArrow	1	1.07127680000849	40	40.0146914999932	40.4981495999964	42.4934970000031
12	1	12	target	83	Left	Right	RightArrow	0	1.50654129999748	44	44.0045314000017	44.4980570000043	46.4933719999972
